"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.n"
5.1,3.5,1.4,0.2,"setosa",0.222222222222222
4.9,3,1.4,0.2,"setosa",0.166666666666667
4.7,3.2,1.3,0.2,"setosa",0.111111111111111
4.6,3.1,1.5,0.2,"setosa",0.0833333333333333
5,3.6,1.4,0.2,"setosa",0.194444444444444
5.4,3.9,1.7,0.4,"setosa",0.305555555555556
4.6,3.4,1.4,0.3,"setosa",0.0833333333333333
5,3.4,1.5,0.2,"setosa",0.194444444444444
4.4,2.9,1.4,0.2,"setosa",0.0277777777777779
4.9,3.1,1.5,0.1,"setosa",0.166666666666667
5.4,3.7,1.5,0.2,"setosa",0.305555555555556
4.8,3.4,1.6,0.2,"setosa",0.138888888888889
4.8,3,1.4,0.1,"setosa",0.138888888888889
4.3,3,1.1,0.1,"setosa",0
5.8,4,1.2,0.2,"setosa",0.416666666666667
5.7,4.4,1.5,0.4,"setosa",0.388888888888889
5.4,3.9,1.3,0.4,"setosa",0.305555555555556
5.1,3.5,1.4,0.3,"setosa",0.222222222222222
5.7,3.8,1.7,0.3,"setosa",0.388888888888889
5.1,3.8,1.5,0.3,"setosa",0.222222222222222
5.4,3.4,1.7,0.2,"setosa",0.305555555555556
5.1,3.7,1.5,0.4,"setosa",0.222222222222222
4.6,3.6,1,0.2,"setosa",0.0833333333333333
5.1,3.3,1.7,0.5,"setosa",0.222222222222222
4.8,3.4,1.9,0.2,"setosa",0.138888888888889
5,3,1.6,0.2,"setosa",0.194444444444444
5,3.4,1.6,0.4,"setosa",0.194444444444444
5.2,3.5,1.5,0.2,"setosa",0.25
5.2,3.4,1.4,0.2,"setosa",0.25
4.7,3.2,1.6,0.2,"setosa",0.111111111111111
4.8,3.1,1.6,0.2,"setosa",0.138888888888889
5.4,3.4,1.5,0.4,"setosa",0.305555555555556
5.2,4.1,1.5,0.1,"setosa",0.25
5.5,4.2,1.4,0.2,"setosa",0.333333333333333
4.9,3.1,1.5,0.2,"setosa",0.166666666666667
5,3.2,1.2,0.2,"setosa",0.194444444444444
5.5,3.5,1.3,0.2,"setosa",0.333333333333333
4.9,3.6,1.4,0.1,"setosa",0.166666666666667
4.4,3,1.3,0.2,"setosa",0.0277777777777779
5.1,3.4,1.5,0.2,"setosa",0.222222222222222
5,3.5,1.3,0.3,"setosa",0.194444444444444
4.5,2.3,1.3,0.3,"setosa",0.0555555555555556
4.4,3.2,1.3,0.2,"setosa",0.0277777777777779
5,3.5,1.6,0.6,"setosa",0.194444444444444
5.1,3.8,1.9,0.4,"setosa",0.222222222222222
4.8,3,1.4,0.3,"setosa",0.138888888888889
5.1,3.8,1.6,0.2,"setosa",0.222222222222222
4.6,3.2,1.4,0.2,"setosa",0.0833333333333333
5.3,3.7,1.5,0.2,"setosa",0.277777777777778
5,3.3,1.4,0.2,"setosa",0.194444444444444
7,3.2,4.7,1.4,"versicolor",0.75
6.4,3.2,4.5,1.5,"versicolor",0.583333333333333
6.9,3.1,4.9,1.5,"versicolor",0.722222222222222
5.5,2.3,4,1.3,"versicolor",0.333333333333333
6.5,2.8,4.6,1.5,"versicolor",0.611111111111111
5.7,2.8,4.5,1.3,"versicolor",0.388888888888889
6.3,3.3,4.7,1.6,"versicolor",0.555555555555555
4.9,2.4,3.3,1,"versicolor",0.166666666666667
6.6,2.9,4.6,1.3,"versicolor",0.638888888888889
5.2,2.7,3.9,1.4,"versicolor",0.25
5,2,3.5,1,"versicolor",0.194444444444444
5.9,3,4.2,1.5,"versicolor",0.444444444444445
6,2.2,4,1,"versicolor",0.472222222222222
6.1,2.9,4.7,1.4,"versicolor",0.5
5.6,2.9,3.6,1.3,"versicolor",0.361111111111111
6.7,3.1,4.4,1.4,"versicolor",0.666666666666667
5.6,3,4.5,1.5,"versicolor",0.361111111111111
5.8,2.7,4.1,1,"versicolor",0.416666666666667
6.2,2.2,4.5,1.5,"versicolor",0.527777777777778
5.6,2.5,3.9,1.1,"versicolor",0.361111111111111
5.9,3.2,4.8,1.8,"versicolor",0.444444444444445
6.1,2.8,4,1.3,"versicolor",0.5
6.3,2.5,4.9,1.5,"versicolor",0.555555555555555
6.1,2.8,4.7,1.2,"versicolor",0.5
6.4,2.9,4.3,1.3,"versicolor",0.583333333333333
